idx,target_x,target_y,target_z,target_u,target_v,true_row,true_col,top1_row,top1_col,top1_grid_match,true_cell_objectness,top1_objectness,true_cell_error_m,top1_error_m,true_cell_pred_x,true_cell_pred_y,true_cell_pred_z,top1_pred_x,top1_pred_y,top1_pred_z
0,4.0,0.0,0.0,79.5,44.5,1,2,1,2,1,0.9993568062782288,0.9993568062782288,0.32700711488723755,0.32700711488723755,4.32275915145874,-0.04833430424332619,-0.02059054933488369,4.32275915145874,-0.04833430424332619,-0.02059054933488369
1,4.0,0.47999998927116394,0.0,69.9000015258789,44.5,1,2,1,2,1,0.9960403442382812,0.9960403442382812,0.45715728402137756,0.45715728402137756,4.206295490264893,0.07585625350475311,0.05570266768336296,4.206295490264893,0.07585625350475311,0.05570266768336296
2,4.0,-0.47999998927116394,0.0,89.0999984741211,44.5,1,2,1,2,1,0.9999395608901978,0.9999395608901978,0.07785720378160477,0.07785720378160477,4.042600631713867,-0.4152616262435913,-0.007474974729120731,4.042600631713867,-0.4152616262435913,-0.007474974729120731
3,4.0,0.0,0.3199999928474426,79.5,38.264617919921875,1,2,1,2,1,0.9999701976776123,0.9999701976776123,0.23717117309570312,0.23717117309570312,3.9886066913604736,-0.23301512002944946,0.36271190643310547,3.9886066913604736,-0.23301512002944946,0.36271190643310547
4,4.0,0.0,-0.3199999928474426,79.5,50.735382080078125,1,2,1,2,1,0.9999407529830933,0.9999407529830933,0.2107727825641632,0.2107727825641632,4.209882736206055,0.0011313867289572954,-0.3006836771965027,4.209882736206055,0.0011313867289572954,-0.3006836771965027
5,6.0,0.0,0.0,79.5,44.5,1,2,1,2,1,0.9999985694885254,0.9999985694885254,0.29392990469932556,0.29392990469932556,5.782353401184082,-0.06857368350028992,-0.18526305258274078,5.782353401184082,-0.06857368350028992,-0.18526305258274078
6,6.0,0.7200000286102295,0.0,69.9000015258789,44.5,1,2,1,2,1,0.9999963045120239,0.9999963045120239,0.6509366631507874,0.6509366631507874,5.86296272277832,0.10055720061063766,-0.14570502936840057,5.86296272277832,0.10055720061063766,-0.14570502936840057
7,6.0,-0.7200000286102295,0.0,89.0999984741211,44.5,1,2,1,2,1,0.9999992847442627,0.9999992847442627,0.4944183826446533,0.4944183826446533,5.520783424377441,-0.6236022114753723,-0.07421892881393433,5.520783424377441,-0.6236022114753723,-0.07421892881393433
8,6.0,0.0,0.47999998927116394,79.5,38.264617919921875,1,2,1,2,1,0.9999995231628418,0.9999995231628418,0.6092821955680847,0.6092821955680847,5.460869789123535,-0.28195419907569885,0.4473627805709839,5.460869789123535,-0.28195419907569885,0.4473627805709839
9,6.0,0.0,-0.47999998927116394,79.5,50.735382080078125,1,2,1,2,1,0.9999992847442627,0.9999992847442627,0.41363632678985596,0.41363632678985596,5.589221954345703,-0.0332871749997139,-0.515332043170929,5.589221954345703,-0.0332871749997139,-0.515332043170929
